PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, RDSD
Station name, Santo_DoDRCR2004
Begin Date, 2012-06-15
End Date, 2019-07-31
Release Date, 2019-08-02
Source file, RDSD.cwu.nam08.pos
Offset from source file, 0.81 mm North, 11.90 mm East, 3.16 mm Vertical
Reference position, 18.4613974205 North Latitude, -69.9113229501 East Longitude, -9.18318 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2012-06-15,0.00, 0.00, 0.00, 2.86, 3.33, 13.01, repro,
2012-06-16,0.74, -2.68, -9.37, 1.82, 1.97, 7.69, repro,
2012-06-17,0.90, -1.90, -10.82, 1.93, 2.22, 8.36, repro,
2012-06-18,-0.73, -3.12, -10.31, 1.87, 2.03, 7.96, repro,
2012-06-19,2.70, 0.13, 3.93, 1.85, 2.07, 7.92, repro,
2012-06-20,1.74, -2.91, -4.02, 1.78, 1.97, 7.58, repro,
2012-06-21,4.36, -0.65, -5.29, 1.79, 2, 7.71, repro,
2012-06-22,-0.82, -1.37, -9.29, 1.8, 2, 7.57, repro,
2012-06-23,2.28, -0.74, -12.17, 1.79, 2.06, 7.62, repro,
2012-06-24,0.13, -2.11, -10.69, 1.82, 2, 7.75, repro,
2012-06-25,2.41, -1.87, -4.95, 1.79, 1.97, 7.56, repro,
2012-06-26,0.02, 0.83, -5.89, 1.79, 2.05, 7.66, repro,
2012-06-27,2.65, 0.00, -13.24, 1.76, 1.94, 7.43, repro,
2012-06-28,2.72, -2.70, -5.97, 1.9, 2.07, 7.94, repro,
2012-06-29,-1.91, -2.22, -16.08, 1.85, 2.08, 7.91, repro,
2012-06-30,0.54, -2.18, -13.07, 1.82, 2.04, 7.84, repro,
2012-07-01,1.90, -0.94, -11.38, 1.84, 2.02, 7.88, repro,
2012-07-02,2.25, -4.03, -0.33, 1.78, 1.97, 7.5, repro,
2012-07-03,2.39, -1.55, -10.26, 1.87, 2.07, 7.93, repro,
2012-07-04,4.28, -2.53, -13.84, 2.08, 2.16, 9, repro,
2012-07-05,2.24, -4.62, -12.19, 1.86, 2.03, 7.82, repro,
